show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2022,Movie,Jim Norton: Please Be Offended,Ryan Polito,Jim Norton,,,2012,,60 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Caustic comedian Norton goes after jaw-dropping laughs not intended for the faint of heart. Among his targets - people who are part of the national hypersensitivity epidemic. Norton's got a message for those people, and it's in the title."
s2023,TV Show,Jim Henson's The Storyteller: Greek Myths,,"Michael Gambon, Brian Henson, Derek Jacobi, Art Malik, Frances Barber, David Morrissey, Gina Bellman, John Wood, Lindsay Duncan",,,1991,TV-PG,1 Season,"Drama, Fantasy, Kids","This spin-off series features a new Storyteller, who finds himself trapped with his dog in the ruins of an ancient labyrinth. As he wanders deeper into the maze, he discovers artifacts in the rubble, each with a remarkable myth behind it. Now digitally remastered!"
s2024,TV Show,Jim Henson's The Storyteller,,"John Hurt, Brian Henson, Sean Bean, Miranda Richardson, Jonathan Pryce, Jennifer Saunders, Gabrielle Anwar, Jane Horrocks",,,1989,TV-PG,1 Season,"Drama, Fantasy, Kids","This beautifully realized, BAFTA-award winning anthology series features human actors alongside creations from Jim Henson's Creature Shop in retellings of classic folk tales, fables, and legends from all over the world. Aided by his cynical dog, The Storyteller (performed by renowned actor John Hurt) narrates fascinating tales that combine humor, intrigue, and magic. Now digitally remastered!"
s2025,TV Show,Jim Henson's Jack and the Beanstalk: The Real Story,,"Matthew Modine, Vanessa Redgrave, Mia Sara, Daryl Hannah, Jon Voight, Richard Attenborough, James Corden, Freddie Highmore",,,2001,ALL,1 Season,"Adventure, Fantasy","Wealthy developer Jack Robinson (Matthew Modine, Netflix's ""Stranger Things"") has big plans for his ""Magic Castle Resort and Casino"" – at least until the crew discovers the bones of a giant beneath the dig-site, setting into motion strange events that turn Jack's life upside down. Stunning visual effects from the Jim Henson Company bring this modern spin on the beloved fairy tale to life."
s2026,TV Show,Jim Gaffigan: The Pale Tourist,,Jim Gaffigan,United States,,2020,13+,1 Season,"Arts, Entertainment, and Culture, Comedy","Jim Gaffigan boldly goes where no stand-up comedian has gone before: everywhere! During the Pale Tourist global tour, Jim traveled the world meeting locals and learning about their culture. He then transformed those experiences into stand-up sets of all-new material specific to each country he visited. Watch as Jim brings his relatable brand of comedy to Spain and Canada in these two new specials."
s2027,TV Show,Jim Gaffigan: Quality Time,,Jim Gaffigan,,,2019,13+,1 Season,"Arts, Entertainment, and Culture, Comedy, Special Interest","[Premieres August 16, 2019] Jim Gaffigan is in top form for his 7th comedy special. The 4-time Grammy nominated comedian, doesn’t understand why we aren’t more honest about the reasons we don’t want to attend events, while at the same time embraces lying to kids. From horses and dog birthdays to traveling and museums, Jim continues to impress. Sit back and enjoy Quality Time with Jim Gaffigan!"
s2028,Movie,Jim Gaffigan: Noble Ape,Jeannie Gaffigan,Jim Gaffigan,,,2018,13+,68 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Jim Gaffigan has made a career out of finding the extraordinary in the ordinary with his hilarious observational style. In his 6th special, he uses humor to deal with the unthinkable & proves that laughter is the best medicine - or is it?"
s2029,Movie,Jim Breuer: Let's Clear The Air,Milton Lage,Jim Breuer,,,2009,18+,63 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","You may remember Jim as the infamous Goat Boy from SNL, or his stoner persona from the cult hit ""Half Baked."" Now he's clearing the air with his concert event, chronicling his transformation from childhood to ultimate family man."
s2030,Movie,Jill-Michele Meleán: White / Latina,Alex Ferrari,Jill-Michele Melean,,,2019,18+,62 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Jill-Michele Melean has finally filmed her one-hour standup special. From Miami to L.A. She's half Bolivian, half Irish but raised in Miami so Cuban by association. Not white enough to play the Stepford wife or Latin enough to play the gangsta but relatable to all ethnicities. From impressions, to family to dating, this special has her last 15 years of hilarious stories."
s2031,Movie,Jill Cunniff,,,,,2007,NR,41 min,Special Interest,"If Jill's most recent record, City Beach, is her attempt to bring the beach to caged up city-dwellers, there is no better place for it than her hometown of New York."
